Team Info,,Function Info,,,,Consumer Touchpoints,,,,,,,,,,
WMTO Team,WMTO Sub-team,Function,Content Lifecycle Area,Variable Data Point,Applications Supported,Content Production,Linear Networks,Sports,News,New WM DTC,Brand Extensions,Gaming,3rd Party Platforms,Consumer Products,Themed Entertainment,Enterprise Tech
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,Brand Center,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,Carpet,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,JV B2B,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,MediaPass,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,Mozart Cue Sheets,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,Swag Bag,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,TCM Talent Manager,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,Town Hall Video,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,WB2B,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,WB 360,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,WM FYC,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,WM Premier,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,WM Screeners,Distribution and Promotion,,,x,,,,x,,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,Product Conceptualization,Platform,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,Product Ideation,Platform,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,Wireframing & Prototyping,Platform,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,User testing / Research-based decision making,Platform,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,"Visual design—Interface, Social, Branding, Product",Platform,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,Animations & Transitions,Platform,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",UX/UI Team,Design Systems,Platform,,,,,,,x,x,,,,,
DTC Engineering & HBO Max,Customer Experience Engineering,Client experience engineering,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Customer Experience Engineering,Client platform engineering,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Customer Experience Engineering,Video playback: ingestion to packaging/QOS,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Customer Experience Engineering,AVOD,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Platform Engineering,Purchase & identity platforms,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Platform Engineering,Content discovery platforms,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Platform Engineering,"Data, experimentation, messaging & analytics platforms",Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Engineering & Operations,Global strategic infrastructure,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Engineering & Operations,Data platforms and services engineering,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Engineering & Operations,Security engineering,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Engineering & Operations,End-to-end quality assurance,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Engineering & Operations,"Tech-ops (change, release, incident, and problem)",Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Engineering & Operations,Ops visibility,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Technical Program Management,"Key ""four-in-a-box"" X-func team leaders",Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Technical Program Management,Customer experience platform,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Technical Program Management,Engineering & ops,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Technical Program Management,International OTT,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Technical Program Management,Strategic platforms & initiatives,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,International OTT Engineering,EMEA/LatAm office leader,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,International OTT Engineering,Architecture,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,International OTT Engineering,"DevOps, QA",Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,International OTT Engineering,Front- and back-end engineering,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,International OTT Engineering,Infrastructure & security,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,International OTT Engineering,Platform ops,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Growth & Tech Operations,SW delivery & financial insights,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Growth & Tech Operations,SW delivery tools,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Growth & Tech Operations,Internal docs,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Growth & Tech Operations,Growth planning/ops,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Growth & Tech Operations,Strategic ops initiatives,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Growth & Tech Operations,Learning management,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,DTC Ottawa/You.i,Ottawa office leader,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,DTC Ottawa/You.i,Technical writing,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,DTC Ottawa/You.i,Third party client services and technical support,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,DTC Ottawa/You.i,WM/AT&T client services and technical support,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Business Operations,"Business continuity, IT, security, facilities liaison (Seattle)",Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Business Operations,EA team leader,Platform,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Business Operations,Logistical & business program manager,Pre Production,,,,,,,x,,,,,,
DTC Engineering & HBO Max,Business Operations,Partners with TA & HR re: employee life cycle programs,Platform,,,,,,,x,,,,,,
Advertising Technology,Application Development,"Engineering of in-house linear adsales and trafficking platform,including national addressable andcross-platform",Platform,,,,x,x,x,,,,,,,
Advertising Technology,Application Development,"Software Engineering, Architecture,Data Engineering, Cloud Engineering,Data Science Model Operations,and Analytics",Pre Production,,,,x,x,x,,,,,,,
Advertising Technology,Application Development,Platform operations,Platform,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,"Ad product development for linearsales and audience",Platform,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Audience Activation,Platform,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Proposals & Order Management,Pre Production,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Revenue Management,Pre Production,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Data Science Integrations,Pre Production,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,WB Syndication Ad Tech,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Technology Training,Pre Production,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,"Ad product development for lineartrafficking platform and linearaddressable",Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,WM National Addressable,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Inventory & Yield Management,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Linear Network Traffic-Playlisting,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Ad Invoicing,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Research & Revenue Data Platforms and Analytics,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Quality Assurance Team,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,AMS Project Management,Client Support Team,Distribution and Promotion,,,,x,x,x,,,,,,,
Advertising Technology,Media Ad Technology,"DirecTV advertising: Responsible forthe DTV Ad Tech Stack across linearand digital.",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Media Ad Technology,"Areas of responsibility include Sales/CRM, Audience Assembly, CampaignPlanning/Reach, Reporting,Measurement and Billing",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Media Ad Technology,"Core Integration and Ad RoutingServices",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Media Ad Technology,"Architecture; Software Engineering,Project Management, Prod Support",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Application Development,"Technical product managementto manage digital ad vendors",Platform,,,,x,x,x,,,,,,,
Advertising Technology,Application Development,"Technical operations to supportbrand monetization",Platform,,,,x,x,x,,,,,,,
Advertising Technology,Application Development,"Support Digital SalesPlatforms Salesforce, Operative,Google Ad Manager, FreeWheel",Platform,,,,x,x,x,,,,,,,
Advertising Technology,Application Development,"Direct and Programmatic solutionsacross O&O, MVPD, DTC",Platform,,,,x,x,x,,,,,,,
Advertising Technology,Digital Ads Engineering,"Engineering and operations ofin-house digital ads platform",Pre Production,,,,x,x,x,x,,,,,,
Advertising Technology,Digital Ads Engineering,"Audience management, ad delivery,ad insertion and programmatic solutions, measurement and attribution",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Platform & Product Strategy,"Ad product developmentfor digital advertising platform",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Platform & Product Strategy,Digital Display & Video Ad Serving,Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Platform & Product Strategy,Programmatic,Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Platform & Product Strategy,Podcasts,Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Platform & Product Strategy,Audience Data Management and Activation,Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Platform & Product Strategy,Advertising Measurement,Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Revenue Analytics,"BI and Data science support for digitalad sales and ad product management",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Revenue Analytics,"Development of the digital adsanalytics platform (DAAP)",Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Revenue Analytics,Development of forecasting capabilities,Distribution and Promotion,,,,x,x,x,x,,,,,,
Advertising Technology,Revenue Analytics,"Data Warehouse, Business Intelligence(self-serve reporting) and PredictiveAnalytics",Distribution and Promotion,,,,x,x,x,x,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Compression,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Uplinks,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,IP Distribution,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,IPTV,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Media WAN,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,International production (Latin America),Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Studios,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Edit/Post-Production,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Field Engineering,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Digital News Gathering,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Satellite News Gathering partnerships,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Bureaus and Production Centers,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Home Studios,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Live Production,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Studios,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Control Rooms,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Newsrooms,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Content Transmissions,Distribution and Promotion,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Production Infrastructure Engineering,"Infrastructure architecture, both in cloud and on premises",Pre Production,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Production Infrastructure Engineering,Network Architecture and Operations,Pre Production,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Production Infrastructure Engineering,Compute and Storage Architecture and Operations,Pre Production,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Production Infrastructure Engineering,"Fundamental Services (authentication, security, OS deployment, etc.)",Pre Production,,,,x,x,x,,,,,,,
Production & Distribution Technology Services,Production Infrastructure Engineering,Cloud Plane Management,Pre Production,,,,x,,,x,,,,,,
Production & Distribution Technology Services,Digital Media Systems,"Post-Production technology including edit, color, sound, GFX/VFX",Post Production,,,,x,,,x,,,,,,
Production & Distribution Technology Services,Digital Media Systems,Quality Control Systems,Post Production,,,,x,,,x,,,,,,
Production & Distribution Technology Services,Digital Media Systems,Media Asset Management,Post Production,,,,x,,,x,,,,,,
Production & Distribution Technology Services,Digital Media Systems,Digital Library & Content Archive,Post Production,,,,x,x,x,x,,,,,,
Production & Distribution Technology Services,Digital Media Systems,Live Record & Playback,Post Production,,,,x,x,x,x,,,,,,
Production & Distribution Technology Services,Digital Media Systems,Technology transformation to cloud production environments,Post Production,,,,x,x,x,x,,,,,,
Advertising Technology,Application Development,Engineering of in-house linear ad sales and trafficking platform ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,Application Development,Software Engineering,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,Application Development,Architecture Data Engineering,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,Application Development,Cloud Engineering,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,Application Development,Data Science Model Operations,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,Application Development,Analytics,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,Application Development,Platform operations,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Ad product development for linear sales and audience ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Audience Activation ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Proposals & OrderManagement ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Revenue Management ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Data Science Integrations ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,WB Syndication Ad Tech ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Technology Training ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Ad product development for linear trafficking platform and linear addressable ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,WM National Addressable ,Pre Production,,,x,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Inventory & Yield Management ,Pre Production,,,,x,x,x,x,x,x,,,,
